"id","trade_date","trade_action","predicted_price","final_portfolio_value","created_at"
212,"2024-12-02","HOLD","237.27000427246094","123872.5595961173","2025-01-09 20:52:10.603487"
213,"2024-12-03","HOLD","239.80999755859375","123872.55959611731","2025-01-09 20:52:10.603487"
214,"2024-12-04","HOLD","242.8699951171875","123872.55959611731","2025-01-09 20:52:10.603487"
215,"2024-12-05","HOLD","243.99000549316406","123872.55959611732","2025-01-09 20:52:10.603487"
216,"2024-12-06","HOLD","242.91000366210938","123872.55959611732","2025-01-09 20:52:10.603487"
217,"2024-12-09","HOLD","241.8300018310547","123872.55959611731","2025-01-09 20:52:10.603487"
218,"2024-12-10","HOLD","246.88999938964844","123872.55959611734","2025-01-09 20:52:10.603487"
219,"2024-12-11","HOLD","247.9600067138672","123872.55959611734","2025-01-09 20:52:10.603487"
220,"2024-12-12","HOLD","246.88999938964844","123872.55959611734","2025-01-09 20:52:10.603487"
221,"2024-12-13","HOLD","247.82000732421875","123872.55959611734","2025-01-09 20:52:10.603487"
222,"2024-12-16","HOLD","247.99000549316406","123872.55959611734","2025-01-09 20:52:10.603487"
223,"2024-12-17","HOLD","250.0800018310547","123872.55959611735","2025-01-09 20:52:10.603487"
224,"2024-12-18","HOLD","252.16000366210938","123872.55959611735","2025-01-09 20:52:10.603487"
225,"2024-12-19","HOLD","247.5","123872.55959611734","2025-01-09 20:52:10.603487"
226,"2024-12-20","HOLD","248.0399932861328","123872.55959611734","2025-01-09 20:52:10.603487"
227,"2024-12-23","HOLD","254.77000427246094","123872.55959611737","2025-01-09 20:52:10.603487"
228,"2024-12-24","HOLD","255.49000549316406","123872.55959611737","2025-01-09 20:52:10.603487"
229,"2024-12-26","HOLD","258.19000244140625","123872.55959611738","2025-01-09 20:52:10.603487"
230,"2024-12-27","HOLD","257.8299865722656","123872.55959611738","2025-01-09 20:52:10.603487"
231,"2024-12-30","SELL","252.22999572753906","123872.55959611735","2025-01-09 20:52:10.603487"
232,"2024-12-31","FINAL_SELL","252.44000244140625","123872.55959611735","2025-01-09 20:52:10.603487"
